#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,0.00,1609748.88,0.00,1609748.88,0.00,0.00
CPTY_A,2016-05-06,0.248634,1552.73,1570352.39,0.00,0.00,1551.84,1551.84
CPTY_A,2016-08-05,0.497268,14848.49,1566375.36,0.00,0.00,14829.27,14829.27
CPTY_A,2016-11-07,0.754098,37748.93,1576270.30,183558.25,0.00,37661.56,37661.56
CPTY_A,2017-02-06,1.003002,64496.94,1592715.64,463968.09,0.00,64292.27,64292.27
CPTY_A,2017-05-05,1.244098,90652.14,1570867.47,711491.31,0.00,90275.54,90275.54
CPTY_A,2017-08-07,1.501632,118441.99,1588556.03,869592.75,0.00,117844.72,117844.72
CPTY_A,2017-11-06,1.750947,124212.71,1673730.15,915455.81,0.00,123476.02,123476.02
CPTY_A,2018-02-05,2.000262,150675.39,1699059.92,1169128.13,0.00,149622.45,149622.45
CPTY_A,2018-05-08,2.252317,170075.19,1679388.78,1288372.38,0.00,168781.18,168781.18
CPTY_A,2018-08-06,2.498892,193271.32,1701951.86,1455879.63,0.00,191687.50,191687.50
CPTY_A,2018-11-05,2.748207,189283.88,1797623.00,1395328.25,0.00,187620.58,191687.50
CPTY_A,2019-02-05,3.000262,210804.56,1819298.35,1525980.50,0.00,208825.95,208825.95
CPTY_A,2019-05-07,3.249577,223753.26,1787200.80,1621811.88,0.00,221610.91,221610.91
CPTY_A,2019-08-05,3.496152,245192.69,1807714.38,1799793.38,0.00,242806.23,242806.23
CPTY_A,2019-11-05,3.748207,235889.65,1896793.03,1714531.25,0.00,233555.57,242806.23
CPTY_A,2020-02-05,4.000000,257026.32,1917430.09,1878226.38,0.00,254441.50,254441.50
CPTY_A,2020-05-05,4.245902,265013.89,1871815.33,1931287.75,0.00,262420.87,262420.87
CPTY_A,2020-08-05,4.497268,278939.83,1890654.97,2032243.88,0.00,276295.42,276295.42
CPTY_A,2020-11-05,4.748634,263418.68,1949245.17,1934397.50,0.00,261001.58,276295.42
CPTY_A,2021-02-05,5.000262,284142.56,1967640.39,2014604.38,0.00,281621.81,281621.81
CPTY_A,2021-05-05,5.244098,289241.98,1893536.89,2099910.25,0.00,287002.28,287002.28
CPTY_A,2021-08-05,5.496152,307704.87,1908361.71,2308813.75,0.00,305693.95,305693.95
CPTY_A,2021-11-05,5.748207,287512.16,1925403.10,2120344.75,0.00,285980.98,305693.95
CPTY_A,2022-02-07,6.005741,303135.08,1941640.98,2221348.25,0.00,301895.79,305693.95
CPTY_A,2022-05-05,6.244098,305440.47,1860436.86,2227147.75,0.00,304744.23,305693.95
CPTY_A,2022-08-05,6.496152,318792.24,1875222.87,2264730.25,0.00,318681.73,318681.73
CPTY_A,2022-11-07,6.753687,303850.05,1881154.75,2143806.25,0.00,304345.94,318681.73
CPTY_A,2023-02-06,7.003002,318768.89,1897199.92,2295797.50,0.00,319900.93,319900.93
CPTY_A,2023-05-05,7.244098,321592.18,1805095.96,2288737.25,0.00,323511.22,323511.22
CPTY_A,2023-08-07,7.501632,333956.30,1819971.15,2393748.25,0.00,336820.15,336820.15
